NUMBER,NAME,YEAR,FAMOUS ONE,FAMOUS TWO,FAMOUS THREE
81,Babel,2006,Brad Pitt,Cate Blanchett,Gael García Bernal
82,War Machine,2017,Brad Pitt,Ben Kingsley,Daniel Betts
83,28 Days,2000,Sandra Bullock,Viggo Mortensen,Steve Buscemi
84,The Lake House,2006,Sandra Bullock,Keanue Reeves,Christopher Plummer
85,The Proom ,2020,Nicole Kidman,Meryl Streep,James Corden
86,300: Rise Of An Empire,2014,Lena Headey,Sullivan Stapleton,Eva Green
87,300,2006,Gerard Butler,Michael Fassbender,Lena Headey
88,The Danish Girl,2015,Eddie Reymond,Alicia Vikander,Amber Heard
89,The Old Guard,2020,Charlize Theron,Matthias Schoenaerts,Harry Melling
90,Searching,2018,John Cho,Michelle La,Debra Messing
91,2 Guns,2013,Denzel Washington,Mark Wahlberg,Paula Patton
92,Roman J.Israel,2017,Denzel Washington,Colin Farrell,Carmen Ejogo
93,How It Ends,2018,Forest Whitaker,,
94,American Honey,2016,Shia LaBeouf,Sasha Lane,Riley Keough
95,Virtuosity,1995,Russell Crowe,Denzel Washington,William Fichtner
96,Greta,2018,Chole Grace Moretz,Isabelle Huppert,Maika Monroe
97,Van Helsing,2004,Hugh Jackman,Kate Beckinsale,David Wenham
98,Tower Heist,2011,Ben Stiller,,
99,Taking Lives,2004,Ethan Hawke,Angelina Jolie,
100,Fractured,2019,Sam Worthington,,
101,A Care A Lot,2020,Peter Dinklage,Cate Blanchett,Eiza González
102,Gulliver's Travels,2010,Jack Black,Emily Blunt,Jason Segel
103,Enemy At The Gates,2001,Jude Law,Rachel Weisz,Ed Harris
104,Here Comes The Boom,2012,Salma Hayek,Kevin James,Henry Winkler
105,Frozen Ground,2013,Nicolas Cage,John Cusack,Vanessa Hudgens
106,Meet The Fockers,2004,Ben Stiller,Robert De Niro,Dustin Hoffman
107,Meet The Parents,2000,Robert Dde Niro,Ben Stiller,Owen Wilson
108,Mosul,2019,IRAQ,,
109,Stoker,2013,Nicole Kidman,Matthew Goode,Mia Wasikowska
110,Swallow,2019,Haley Bennett,Austin Stowell,Denis O'Hare
111,Hostiles,2017,Christian Bale,Cate Blanchett,Wes Studi
112,The Glass House,2001,Lelee Sobieski,Stellan Skarsgård,Diane Lane
113,Wonder Wheel,2017,Kate Winslet,Justin Timberlake,Juno Temple
114,Grace Of Monaco,2014,Nicole Kidman,Milo Ventimiglia,Tim Roth
115,Fur : An Imaginary Portrait Of Diane Arbus,2006,Nicole Kidman,Robert Downey Jr.,
116,Les Fantomes D'Ismael,2017,Marion Cotillard,,
117,Patriots Day,2016,Mark Wahlberg,,
118,A Little Bit Of Heaven,2011,Kate Hudson,Gael García Bernal,Peter Dinklage
119,Friends With Money ,2006,Jennifer Aniston,Catherine Keener,Joan Cusack
120,Holy Smoke,1999,Kate Winslet,Harvey Keitel,Julie Hamilton
121,Django Unchained,2012,Leonardo Di Caprio,Samuel L Jackson,Christoph Waltz
122,Bicford Shmeckler's Cool Ideas,2006,Olivia Wilde,Patrick Fugit,Fran Kranz
123,Tag,2018,Ed Helms,Jeremy Renner,Jon Hamm
124,Nerve,2016,Emma Roberts,Dave Franco,Emily Meade
125,Meadowland,2015,Olivia Wilde,Giovanni Ribisi,Luke Wilson
126,The Bourne Identity ,2002,Matt Damon,Chris Cooper,Franka Potente
127,The Town,2010,Ben Affleck,Rebecca Hall,Jon Hamm
128,Flight,2012,Denzel Washington,Nadine Velazquez,Don Cheadle
129,The Haunting,1999,Catherine Zeta-Jones,Liam Neeson,Owen Wilson
130,You Should Have Left,2020,Amanda Seyfried,Kevin Bacon,Colin Blumenau
131,The Imitation Game,2014,Benedict Cumberbatch,Keira Knightley,Charles Dance
132,In The Shadow Of The Moon ,2019,Boyd Holdbrook,Cleopatra Coleman,Bokeem Woodbine
133,El Camino : A Breaking Bad Movie ,2019,Aaron Paul,Bryan Cranston,Jonathan Banks
134,The November Man,2014,Pierce Brosnan,Olga Kurlyenko,Luke Bracey
135,The Hitman's Bodyguard,2017,Ryan Reynolds,Samuel L Jackson,Salma Hayek
136,7 Days in Entebbe,2018,Daniel Bruhl,Rosamund Pike,Amir Khoury
137,Argo,2012,Ben Affleck,Bryan Cranston,John Goodman
138,Empire Of The Sun,1987,Christian Bale,John Malkovich,Ben Stiller
139,Tully,2018,Charlize Theron,Mackenzie Davis,Ron Livingston
140,Cold Mountain,2003,Jude Law,Nicole Kidman,Renée Zellweger
141,Butter,2011,Olivia Wilde,Jennifer Garner,Ty Burrell
142,The Physician,2013,Ben Kingsley,Tom Payne,Stellan Skarsgård
143,Disturbia,2007,Shia LaBeouf,Carrie-Anne Moss,David Morse
144,My Best Friend's Wedding,1997,Julia Roberts,Cameron Diaz,Dermot Mulroney
145,The Equalizer,2014,Denzel Washington,Chloë Grace Moretz,Haley Bennett
146,Turistas,2006,Olivia Wilde,Melissa George,Josh Duhamel
147,Geostorm,2017,Gerard Butler,Jim Sturgess,Abbie Cornish
148,A Quiet Place,2018,Emily Blunt,John Krasinski,Millicent Simmonds
149,Equilibrium,2002,Christian Bale,Sean Bean,Emily Watson
150,Harsh Times,2005,Christian Bale,Freddy Rodríguez,Eva Longoria
151,People Like Us,2012,Elizabeth Banks,Olivia Wilde,Chris Pine
152,Cowboys&Aliens,2011,Olivia Wilde,Daniel Craig,Harrison Ford
153,The Yellow Birds,2017,Tye Sheridan,Jennifer Aniston,Alden Ehrenreich
154,Training Day,2001,Denzel Washington,Ethan Hawke,Eva Mendes
155,I Am A Legend,2007,Will Smith,Alice Braga,Charlie Tahan
156,Rumor Has It,2005,Jennifer Aniston,Mark Ruffalo,Kevin Costner
157,"Me , Myself & Irene",2000,Jim Carrey,Reene Zellweger,Anthony Anderson
158,True Memoirs Of An International Assassin,2016,Kevin James,Zulay Henao,Andy Garcia
159,A Life Less Ordinary,1997,Cameron Diaz,Ewan McGregor,Stanley Tucci
160,Bad Boys 2,2003,Will Smith,Martin Lawrence,Gabrielle Union
161,Edge Of Fear,2018,Rockmond Dunbar,Zhu Zhu,Robert Knepper
162,Nightcrawler,2014,Jake Gyllenhaal,Rene Russo,Riz Ahmed
163,Bad Boys ,1995,Will Smith,Martin Lawrence,Lisa Boyle
164,Maleficent: Mistress Of Evil,2019,Angelina Jolie,Elle Fanning,Harris Dickinson
165,Yes Man,2008,Jim Carrey,Bradley Cooper,Zooey Deschanel
166,A Common Man,2013,Ben Kingsley,Ben Cross,Kian O'Grady
167,The Departed,2006,Leonardo Di Caprio,Matt Damon,Jack Nicholson
168,Velvet Goldmine,1998,Jonathan Rhys Meyers,Christian Bale,Ewan McGregor
169,Velvet Buzzsaw,2019,Jake Gyllenhaal,John Malkovich,Toni Collette
170,Maleficent ,2014,Angelina Jolie,Elle Fanning,Sharlto Copley
171,He Is Just Not That Into You,2009,Ben Affleck,Jennifer Aniston,Jennifer Connelly
172,Richard Jewell,2019,Paul Walter Hauser,Sam Rockwel,Olivia Wilde
173,Metroland,1997,Christian Bale,Lee Ross,Emily Watson
174,The Accountant ,2016,Ben Affleck,Jon Bernthal,Anna Kendrick
175,Extinction,2018,Michael Pena,Lizzy Caplan,Emma Booth
176,Gothika,2003,Penelope Cruz,Halle Berry,Robert Downey Jr
177,Prince Of Jutland,1994,Christian Bale,Gabriel Byrne,Helen Mirren
178,Reign Of Fire,2002,Christian Bale,Matthew McConaughey,Gerard Butler
179,Get Him To The Greek,2010,Jonah Hill,Russell Brand,Elisabeth Moss
180,Hanna,2011,Saoirse Ronan,Cate Blanchett,Eric Bana
181,The Box,2009,Cameron Diaz,Frank Langella,James Marsden
182,Love Happens,2009,Jennifer Aniston,Aaron Eckhart,John Carroll Lynch
183,Mary Shelley,2017,Elle Fanning,Douglas Booth,Stephen Dillane
184,Shaft 2,2019,Samuel L Jackson,Alexandra Shipp,Jessie T. Usher
185,Dredd,2012,Olivia Thirlby,Karl Urban,Lena Headey
186,Just Go With It,2011,Adam Sandler,Jennifer Aniston,Nicole Kidman
187,True Story,2015,James Franco,Jonah Hill,Felicity Jones
188,Lucy,2014,Scarlett Johannson,Morgan Freeman,Amr Waked
189,The Invention Of Lying,2009,Ricky Gervais,Jennifer Garner,Jonah Hill
190,21,2008,Kevin Spacey,Jim Sturgess,Kate Bosworth
191,Romance&Cigarettes,2005,Kate Winslet,James Gandolfini,Steve Buscemi
192,The Skeleton Key,2005,Kate Hudson,Peter Sarsgaard,Joy Bryant
193,The Silence,2019,Stanley Tucci,Miranda Otto,Kiernan Shipka
194,Labor Day,2013,Kate Winslet,Josh Brolin,Gattlin Griffith
195,True Grit,2010,Jeff Bridges,Matt Damon,Josh Brolin
196,Head In The Clouds,2004,Penelope Cruz,Charlize Theron,Stuart Townsend
197,Very Bad Things,1998,Cameron Diaz,Christian Slater,Jon Favreau
198,Unbroken,2014,Jack O'Connell,Domhnall Gleeson,Miyavi
199,Don't Breathe,2016,Stephen Lang,Jane Levy,Dylan Minnette
200,Annihilation,2018,Natalie Portman,Tessa Thompson,Oscar Isaac
201,War Dogs,2016,Johan Hill,Jonah Hill,Ana de Armas
202,Aloha,2015,Bradley Cooper,Rachel McAdams,Emma Stone
203,The Firm,1993,Tom Cruise,Jeanne Tripplehorn,Ed Harris
204,The Whole Truth,2016,Keanu Reeves,Reene Zellweger,Jim Belushi
205,The Usual Suspects,1995,Kevin Spacey,Gabriel Byrne,Benicio Del Toro
206,Revolutionary Road,2008,Leonardo Di Caprio,Kate Winslet,Marin Ireland
207,Zombieland,2009,Woody Harrelson,Emma Stone,Jesse Eisenberg
208,Murder Mystery,2019,Adam Sandler,Jennifer Aniston,Luke Evans
209,Vantage Point,2008,Forest Whitaker,Dennis Quaid,Edgar Ramírez
210,The Road,2009,Viggo Mortensen,Charlize Theron,Guy Pearce
211,Young Ones,2014,Elle Fanning,Nicholas Hoult,Michael Shannon
212,Shaft,2000,Samuel L Jackson,Christian Bale,Vanessa Williams
213,The Life Of David Gale,2003,Kate Winslet,Kevin Spacey,Laura Linney
214,Ibn El-Qunsul,2011,Ahmed El Sakka,Khaled Saleh,Ghadah Adel
215,Twixt,2011,Elle Fanning,Val Kilmer,Ben Chaplin
